id,cover,name,rating
2741,//images.igdb.com/igdb/image/upload/t_thumb/co2c0k.jpg,Duck Hunt,1
2745,//images.igdb.com/igdb/image/upload/t_thumb/jdpocwk2gdmkclvedse1.jpg,Rayman Raving Rabbids 2,1
2750,//images.igdb.com/igdb/image/upload/t_thumb/co1w1t.jpg,Pac-Man,1
2751,//images.igdb.com/igdb/image/upload/t_thumb/co27k6.jpg,Galaga,1
2762,//images.igdb.com/igdb/image/upload/t_thumb/co1p1c.jpg,Spongebob Squarepants: Revenge of the Flying Dutchman,1
2849,//images.igdb.com/igdb/image/upload/t_thumb/q6qmdv4aheyvpolm4pvy.jpg,All Star Cheer Squad,1
2875,//images.igdb.com/igdb/image/upload/t_thumb/uws9ji4qkup2wmzklab8.jpg,Hack,1
2920,//images.igdb.com/igdb/image/upload/t_thumb/co206x.jpg,FIFA 14,1
2922,//images.igdb.com/igdb/image/upload/t_thumb/ifjv3edjyenwccay8bxv.jpg,Crusader Kings,1
2923,//images.igdb.com/igdb/image/upload/t_thumb/co1wf2.jpg,Donkey Kong Country: Tropical Freeze,1
2927,//images.igdb.com/igdb/image/upload/t_thumb/co28hq.jpg,Super Monkey Ball,1
2928,//images.igdb.com/igdb/image/upload/t_thumb/co2f3o.jpg,Super Monkey Ball 2,1
2956,//images.igdb.com/igdb/image/upload/t_thumb/co1ud3.jpg,Audiosurf,1
3060,//images.igdb.com/igdb/image/upload/t_thumb/cyxtnsjcuqwjynwnicu4.jpg,Cooking Mama,1
3061,//images.igdb.com/igdb/image/upload/t_thumb/aw65qofemvvhenf9uyst.jpg,Cooking Mama: Cook Off,1
3062,//images.igdb.com/igdb/image/upload/t_thumb/i46l92jtdczut0m1oiao.jpg,Cooking Mama 2: Dinner With Friends,1
3064,//images.igdb.com/igdb/image/upload/t_thumb/y9wmbz2mtahpgzntfefx.jpg,Cooking Mama: World Kitchen,1
3065,//images.igdb.com/igdb/image/upload/t_thumb/co1zv9.jpg,Cooking Mama 3: Shop & Chop,1
3068,//images.igdb.com/igdb/image/upload/t_thumb/co2290.jpg,Forza Motorsport 4,1
3070,//images.igdb.com/igdb/image/upload/t_thumb/co258w.jpg,Euro Truck Simulator 2,1
3089,//images.igdb.com/igdb/image/upload/t_thumb/co28iy.jpg,WRC 4 FIA World Rally Championship,1
3102,//images.igdb.com/igdb/image/upload/t_thumb/co26n5.jpg,Kerbal Space Program,1
3105,//images.igdb.com/igdb/image/upload/t_thumb/co21ip.jpg,Mario Bros.,1
3106,//images.igdb.com/igdb/image/upload/t_thumb/co2eul.jpg,Wii Party U,1
3135,//images.igdb.com/igdb/image/upload/t_thumb/co2075.jpg,FIFA 08,1
3168,//images.igdb.com/igdb/image/upload/t_thumb/ntyv21gif2hyw6rsvxf2.jpg,Farming-Simulator 2008,1
3169,//images.igdb.com/igdb/image/upload/t_thumb/hsuecw6ahaiirepamgw6.jpg,Farming-Simulator 2009,1
3176,//images.igdb.com/igdb/image/upload/t_thumb/f7ahztnmse5x9jsce4sw.jpg,Farming-Simulator 2011,1
3213,//images.igdb.com/igdb/image/upload/t_thumb/co260t.jpg,Yoshi's Story,1
3230,//images.igdb.com/igdb/image/upload/t_thumb/co1qrz.jpg,The Night of the Rabbit,1
3244,//images.igdb.com/igdb/image/upload/t_thumb/co2cni.jpg,Wii Music,1
3255,//images.igdb.com/igdb/image/upload/t_thumb/co1xf6.jpg,Just Dance 4,1
3304,//images.igdb.com/igdb/image/upload/t_thumb/co2cyn.jpg,The Smurfs Dance Party,1
3305,//images.igdb.com/igdb/image/upload/t_thumb/m5343w65loqxgkr7mroe.jpg,ABBA: You Can Dance,1
3316,//images.igdb.com/igdb/image/upload/t_thumb/slxkf8zkwfpkln7sdhws.jpg,Barbie: Groom and Glam Pups,1
