id,cover,genres,name,rating,cover_big,has_cars
5606,//images.igdb.com/igdb/image/upload/t_thumb/co1xiq.jpg,['Adventure'],Assassin's Creed: Unity,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1xiq.jpg,False
5627,//images.igdb.com/igdb/image/upload/t_thumb/co1pbr.jpg,"['Fighting', 'Shooter']",Nosgoth,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1pbr.jpg,False
5647,//images.igdb.com/igdb/image/upload/t_thumb/co1r6w.jpg,['Shooter'],Enemy Front,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1r6w.jpg,False
5678,//images.igdb.com/igdb/image/upload/t_thumb/strcddfm6woiz0ejppha.jpg,"[""Hack and slash/Beat 'em up""]",War of the Vikings,5,//images.igdb.com/igdb/image/upload/t_cover_big/strcddfm6woiz0ejppha.jpg,False
5778,//images.igdb.com/igdb/image/upload/t_thumb/co2iqn.jpg,"['Puzzle', 'Adventure', 'Indie']",Lucius,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2iqn.jpg,False
5780,//images.igdb.com/igdb/image/upload/t_thumb/co1zv0.jpg,"['Shooter', 'Adventure']",Cold Fear,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1zv0.jpg,False
5808,//images.igdb.com/igdb/image/upload/t_thumb/xlycstkz9nvjywckwg9f.jpg,['Shooter'],Darkwatch,5,//images.igdb.com/igdb/image/upload/t_cover_big/xlycstkz9nvjywckwg9f.jpg,False
5828,//images.igdb.com/igdb/image/upload/t_thumb/co2mfs.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Evil Dead: Regeneration,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2mfs.jpg,False
5850,//images.igdb.com/igdb/image/upload/t_thumb/co2ms5.jpg,['Adventure'],Grand Theft Auto: The Trilogy,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2ms5.jpg,False
5894,//images.igdb.com/igdb/image/upload/t_thumb/co1ul1.jpg,"['Strategy', 'Turn-based strategy (TBS)']",XCOM: Enemy Within,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1ul1.jpg,False
5924,//images.igdb.com/igdb/image/upload/t_thumb/co1t1w.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Dead Rising 2: Off the Record,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1t1w.jpg,False
5974,//images.igdb.com/igdb/image/upload/t_thumb/co2k8n.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Ninja Gaiden Sigma,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2k8n.jpg,False
5986,//images.igdb.com/igdb/image/upload/t_thumb/co1oyc.jpg,['Adventure'],Predator: Concrete Jungle,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1oyc.jpg,False
6030,//images.igdb.com/igdb/image/upload/t_thumb/co2lcp.jpg,"['Fighting', ""Hack and slash/Beat 'em up""]",The Warriors,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2lcp.jpg,False
6032,//images.igdb.com/igdb/image/upload/t_thumb/co20tq.jpg,"['Shooter', 'Role-playing (RPG)']",Borderlands: The Pre-Sequel,5,//images.igdb.com/igdb/image/upload/t_cover_big/co20tq.jpg,False
6036,//images.igdb.com/igdb/image/upload/t_thumb/co1ile.jpg,"['Shooter', 'Adventure']",The Last of Us Remastered,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1ile.jpg,False
6057,//images.igdb.com/igdb/image/upload/t_thumb/co1z3t.jpg,"['Shooter', 'Adventure']",Shadow Warrior,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1z3t.jpg,False
6068,//images.igdb.com/igdb/image/upload/t_thumb/co21lx.jpg,['Role-playing (RPG)'],The Elder Scrolls V: Skyrim - Hearthfire,5,//images.igdb.com/igdb/image/upload/t_cover_big/co21lx.jpg,False
6175,//images.igdb.com/igdb/image/upload/t_thumb/co222h.jpg,"['Puzzle', 'Adventure']",Still Life,5,//images.igdb.com/igdb/image/upload/t_cover_big/co222h.jpg,False
